product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
239,Home construction,56,489,2,250,16,11,11
239,Clothes,57,992,3,1200,44,20,20
239,Clothes,54,339,1,4800,25,8,25
239,Books,54,463,1,700,40,20,20
376,Home construction,40,1469,3,1050,18,21,27
376,Home construction,58,587,3,350,20,20,20
376,Home construction,52,150,1,422,21,16,18
376,Clothes,51,484,1,317,19,13,16
376,Beauty products,39,430,1,16400,63,66,56
376,Computer accessories,22,1313,1,938,29,22,23
376,Computer accessories,37,1168,1,2700,21,16,31
376,Beauty products,39,1146,1,1750,30,18,30
376,Office furnitures,42,671,1,3850,29,12,24
376,Sports equipments,49,460,2,267,17,13,17
376,Clothes,59,2367,3,16200,55,40,40
376,Beauty products,54,381,2,1400,38,9,27
376,Beauty products,50,607,1,6450,100,10,11
376,Beauty products,59,1750,3,2300,105,3,70
376,Agro products,55,163,2,300,25,8,18
376,Agro products,43,101,1,600,50,10,12
376,Agro products,60,2497,1,3600,20,20,20
376,Agro products,60,1146,6,150,20,24,33
376,Agro products,57,900,4,400,16,4,11
376,Agro products,49,319,1,100,18,6,11
376,Beauty products,55,1186,2,800,53,8,20
376,Office furnitures,58,703,6,5250,47,19,23
98,Home construction,50,361,1,200,35,4,26
98,Home appliances,58,899,2,335,17,11,12
98,Housewares,49,701,1,1300,50,12,12
98,Home construction,47,1405,3,150,35,2,25
98,Books,59,504,3,367,16,4,11
98,Books,57,276,4,250,16,2,11
98,Books,46,287,1,8500,75,25,55
98,Office furnitures,46,1039,1,2150,42,25,15
98,Agro products,,,,650,17,14,12
98,Home construction,56,663,4,150,16,5,11
98,Beauty products,39,170,1,650,27,10,22
98,Home construction,53,794,4,2700,20,26,32
98,Clothes,56,414,1,1200,23,22,16
98,Computer accessories,36,312,2,6050,55,10,46
98,Computer accessories,53,425,1,150,16,6,11
98,Beauty products,58,918,6,1050,16,20,16
98,Agro products,36,617,1,1350,23,7,30
98,Toys,41,270,1,600,36,6,19
98,Beauty products,22,275,1,1000,30,18,18
98,Computer accessories,58,381,2,1550,43,8,33
98,Home construction,58,223,1,2700,45,13,35
98,Beauty products,63,1930,9,200,19,5,11
98,Home appliances,51,244,1,800,38,8,28
98,Computer accessories,56,733,3,377,18,13,15
98,Sports equipments,52,1049,3,400,45,22,43
98,Sports equipments,51,1212,1,450,16,5,16
98,Home construction,30,547,1,2000,32,51,16
98,Sports equipments,53,1398,1,300,16,2,11
98,Office furnitures,34,160,1,250,26,14,14
98,Office furnitures,57,245,2,1950,60,15,15
98,Beauty products,50,1254,2,500,16,15,11
98,Sports equipments,,,,300,16,7,20
98,Computer accessories,59,1431,6,7900,70,15,70
240,Sports equipments,53,261,2,1800,41,9,34
240,Clothes,60,884,1,900,37,3,23
240,Computer accessories,52,68,7,200,16,2,11
240,Office furnitures,30,410,4,4500,80,70,28
240,Books,48,303,3,250,21,7,15
240,Agro products,59,943,1,550,16,25,12
240,Agro products,49,540,4,1100,39,12,28
240,Home appliances,53,222,1,3600,40,20,40
240,Sports equipments,56,235,1,100,16,3,11
240,Home construction,50,329,2,150,16,18,16
240,Beauty products,55,144,1,3775,18,13,16
240,Home appliances,59,797,2,1400,25,20,20
240,Home appliances,53,439,5,900,22,7,18
240,Beauty products,60,438,2,250,20,12,20
240,Beauty products,55,852,1,350,21,9,16
240,Home construction,,,,200,20,20,20
240,Computer accessories,39,805,3,1800,18,32,27
240,Beauty products,52,420,2,5050,50,8,50
240,Computer accessories,58,386,1,27100,50,50,50
240,Clothes,50,273,1,1500,65,8,38
240,Sports equipments,43,572,2,500,16,11,11
240,Office furnitures,52,700,2,350,16,10,16
240,Home construction,47,1548,3,500,16,12,17
240,Home construction,55,448,1,1000,20,20,20
240,Beauty products,,,,18500,41,30,41
240,Sports equipments,51,410,2,300,24,11,24
240,Home construction,59,257,1,250,16,2,20
240,Home construction,51,863,1,10700,40,40,40
240,Office furnitures,29,290,1,1700,32,21,22
240,Office furnitures,31,680,1,7700,39,28,25
240,Books,57,785,4,5200,20,60,35
377,Home construction,51,244,1,125,17,10,14
377,Beauty products,50,2220,1,15700,58,28,58
377,Beauty products,53,599,2,350,16,11,11
377,Clothes,57,649,1,213,16,10,13
377,Stationery,30,401,3,150,16,11,11
377,Stationery,35,907,3,18200,56,15,15
377,Books,38,390,1,850,18,21,15
377,Sports equipments,55,918,6,1050,16,20,16
377,Home construction,48,382,5,200,16,9,11
377,Clothes,32,42,1,300,16,15,11
377,Beauty products,47,764,1,200,23,9,13
377,Office furnitures,52,406,1,800,20,25,25
377,Office furnitures,50,198,2,200,24,7,14
377,Clothes,50,853,1,698,46,10,14
377,Beauty products,59,776,6,350,17,4,12
377,Clothes,50,2913,3,1000,24,5,17
377,Beauty products,53,585,1,783,21,13,28
377,Home construction,48,1063,2,600,20,20,20
377,Clothes,47,181,1,11650,55,30,30
377,Beauty products,42,369,1,400,16,2,11
377,Beauty products,25,274,1,3050,40,10,40
377,Agro products,50,744,1,100,16,3,11
377,Beauty products,44,2395,1,16500,40,25,26
377,Home appliances,59,470,2,750,34,14,24
377,Books,39,422,1,250,36,4,20
377,Computer accessories,59,413,3,2300,84,14,20
377,Books,37,374,1,1350,33,12,26
377,Books,22,388,3,530,17,20,20
377,Books,59,162,1,1300,20,20,20
377,Books,59,605,5,4000,57,14,36
377,Beauty products,52,234,4,8150,20,20,20
377,Sports equipments,57,272,1,2200,16,2,11
377,Sports equipments,55,1029,1,1150,20,25,20
377,Agro products,60,312,4,200,16,2,11
377,Books,60,1068,3,400,16,20,16
377,Sports equipments,63,244,4,600,29,12,23
172,Home construction,,,,300,35,7,12
172,Clothes,48,645,1,1200,16,10,16
172,Home construction,50,268,5,10664,61,63,35
172,Beauty products,43,2148,2,1800,50,12,36
172,Sports equipments,47,154,3,500,16,2,11
172,Sports equipments,48,501,1,258,19,12,19
172,Beauty products,59,209,1,1400,16,44,37
172,Home appliances,59,640,1,400,35,7,35
172,Home appliances,58,655,5,1300,30,10,30
172,Office furnitures,55,315,2,1000,30,10,25
172,Sports equipments,52,1290,3,1300,30,10,18
172,Clothes,58,443,2,3305,38,36,19
172,Electronics,55,224,2,6000,75,15,50
172,Computer accessories,50,281,4,300,35,5,25
172,Agro products,57,74,1,250,20,2,15
172,Office furnitures,45,1003,2,400,18,11,11
172,Home construction,32,1274,1,250,16,10,30
172,Computer accessories,57,1532,2,1250,29,19,22
172,Computer accessories,47,1026,2,950,40,6,40
172,Housewares,54,261,6,2000,30,34,17
172,Books,56,1395,7,13575,71,81,44
172,Books,60,537,1,667,17,16,16
172,Home appliances,55,457,2,267,17,11,12
172,Computer accessories,60,609,2,1750,45,20,40
172,Clothes,52,1113,1,150,16,12,11
172,Beauty products,48,135,1,10550,65,7,45
172,Beauty products,57,1298,1,1725,100,35,16
241,Clothes,43,215,1,700,45,10,31
241,Home construction,29,1318,1,400,34,16,16
241,Books,23,146,3,300,30,10,20
241,Books,59,1582,1,5850,60,25,25
241,Home appliances,47,687,1,267,17,11,13
241,Clothes,53,155,2,1500,39,12,25
241,Clothes,42,727,1,400,24,16,14
241,Books,54,3830,1,1300,31,32,31
241,Clothes,58,172,1,400,16,10,14
241,Sports equipments,32,195,1,150,25,2,19
241,Home construction,40,654,1,650,25,13,14
241,Home construction,44,421,1,706,32,8,38
241,Clothes,59,251,1,300,25,10,25
241,Home construction,41,242,1,4850,75,5,50
241,Books,51,1741,1,825,20,24,15
241,Office furnitures,31,432,1,600,46,3,15
241,Computer accessories,53,527,2,700,23,9,11
241,Books,51,1442,1,300,40,10,27
241,Clothes,55,471,2,1270,17,14,17
241,Computer accessories,40,338,1,450,20,2,11
241,Office furnitures,,,,2200,16,2,11
241,Computer accessories,56,173,1,150,18,8,13
241,Beauty products,49,192,1,200,16,3,11
241,Home construction,50,859,1,10893,33,88,44
241,Home construction,53,524,1,1800,25,7,20
241,Home construction,29,566,2,1220,20,33,22
241,Office furnitures,53,1368,6,360,30,19,22
241,Beauty products,52,424,1,175,22,11,15
241,Books,50,852,1,1900,50,13,70
241,Computer accessories,37,621,5,250,20,20,20
241,Beauty products,58,1261,3,6950,85,11,50
241,Agro products,57,1094,1,1100,55,5,40
241,Housewares,64,882,5,300,17,7,24
241,Housewares,41,2261,1,16500,58,28,58
241,Sports equipments,28,453,1,300,16,23,19
241,Office furnitures,25,813,1,1836,61,6,24
241,Office furnitures,59,822,1,175,18,22,16
241,Books,53,579,1,675,22,24,21
241,Books,58,568,4,200,26,5,20
241,Agro products,58,1058,1,1200,30,20,30
241,Agro products,32,1074,2,200,39,2,30
241,Books,46,1193,2,16100,63,61,24
241,Office furnitures,51,443,1,117,19,4,12
241,Home appliances,27,1217,1,455,36,18,27
241,Beauty products,55,613,1,550,16,10,16
241,Beauty products,54,404,4,750,22,12,33
241,Office furnitures,43,447,2,586,18,11,13
241,Sports equipments,57,919,6,540,16,27,16
241,Beauty products,42,2819,1,3700,30,20,20
241,Beauty products,57,623,4,3150,30,17,30
241,Clothes,57,296,1,2100,53,27,40
241,Beauty products,51,1006,3,314,20,19,18
241,Home construction,49,153,1,550,23,15,23
241,Sports equipments,55,978,1,13825,70,35,49
241,Clothes,42,431,1,850,40,6,50
241,Beauty products,19,200,1,250,21,4,13
241,Office furnitures,55,1475,1,400,20,20,20
241,Home construction,48,606,2,400,16,20,15
241,Computer accessories,25,211,1,200,16,2,16
241,Beauty products,60,1023,5,250,20,20,20
241,Beauty products,53,813,4,1950,17,11,12
241,Beauty products,49,607,1,300,35,10,25
241,Electronics,54,364,1,1050,30,45,11
241,Beauty products,53,1373,4,400,16,7,11
241,Beauty products,40,234,1,1000,56,9,22
241,Beauty products,39,772,1,150,16,16,11
378,Beauty products,60,876,1,700,16,16,16
378,Sports equipments,47,358,3,450,17,7,17
378,Sports equipments,29,556,1,2000,30,12,16
378,Office furnitures,57,954,4,21400,20,20,20
378,Beauty products,,,,300,16,7,11
378,Books,52,2515,1,188,20,16,15
378,Beauty products,56,646,1,300,16,30,20
378,Sports equipments,38,487,2,13600,26,60,40
378,Beauty products,50,1342,3,800,25,25,25
378,Office furnitures,,,,300,18,8,14
378,Home appliances,49,600,2,1400,65,12,12
378,Agro products,50,295,1,650,13,11,12
378,Housewares,37,2457,1,600,26,17,17
378,Office furnitures,58,1969,2,3000,69,11,11
378,Beauty products,45,224,1,950,46,10,33
378,Beauty products,51,582,2,17400,42,35,42
378,Office furnitures,36,940,2,300,16,2,11
378,Sports equipments,52,1224,2,700,20,20,20
378,Computer accessories,56,1545,2,625,21,16,17
378,Home construction,44,586,3,3250,32,14,22
378,Office furnitures,57,404,2,1500,22,12,33
378,Computer accessories,54,228,1,250,32,3,23
378,Beauty products,41,198,1,425,31,6,12
378,Home construction,56,1161,1,150,20,8,13
378,Home construction,56,2028,3,350,68,8,13
378,Clothes,44,284,12,300,29,7,16
378,Agro products,49,276,12,100,19,3,11
378,Home appliances,55,1658,3,550,16,21,18
378,Sports equipments,59,1250,1,250,16,27,15
378,Beauty products,60,1541,1,1000,26,40,20
378,Beauty products,55,998,3,14850,35,102,35
378,Office furnitures,46,726,3,850,42,25,15
378,Clothes,56,3354,4,1850,28,14,19
378,Sports equipments,54,1399,1,300,16,2,11
378,Sports equipments,61,212,1,200,19,4,11
378,Sports equipments,46,803,1,150,22,3,15
378,Sports equipments,55,1392,1,900,16,16,16
378,Computer accessories,52,497,1,1900,44,19,19
378,Beauty products,50,171,1,1450,45,10,15
378,Beauty products,54,1162,1,1100,29,3,21
124,Beauty products,54,1241,5,200,16,11,11
124,Shoes,43,1440,1,12600,20,10,20
124,Shoes,21,1000,1,1450,25,25,16
124,Shoes,49,733,3,800,42,25,15
124,Shoes,50,749,1,1300,22,14,14
124,Shoes,45,802,1,150,22,3,15
124,Clothes,40,549,1,200,20,20,20
124,Stationery,60,1177,3,11450,23,43,35
124,Home construction,54,220,2,2200,20,20,20
124,Sports equipments,38,2030,2,13200,66,19,67
124,Sports equipments,59,119,3,200,16,2,11
124,Sports equipments,53,310,1,150,19,11,11
124,Sports equipments,51,439,3,3350,30,30,30
124,Sports equipments,64,702,1,2200,42,11,36
124,Beauty products,48,489,2,30000,50,50,30
124,Home appliances,59,255,2,500,30,8,35
124,Agro products,51,487,1,1800,45,10,34
124,Books,,,,200,22,14,14
124,Office furnitures,58,134,1,1300,70,11,11
124,Office furnitures,51,372,2,150,16,9,11
124,Office furnitures,39,278,1,700,19,48,35
124,Stationery,32,1064,5,2900,40,55,30
124,Clothes,34,426,4,200,16,9,11
124,Clothes,45,1886,1,300,16,18,16
124,Home construction,41,552,2,200,23,7,15
124,Clothes,55,166,1,700,49,4,50
124,Clothes,52,819,4,200,17,13,16
124,Computer accessories,51,2959,4,7800,105,10,40
124,Home construction,53,500,2,550,16,4,11
124,Home construction,60,460,4,200,16,2,11
124,Computer accessories,41,208,2,1000,30,7,24
124,Computer accessories,52,219,1,1000,26,8,33
124,Home appliances,49,527,4,1450,60,5,30
124,Computer accessories,41,1071,1,5850,45,55,16
242,Electronics,59,348,2,8300,45,25,45
242,Computer accessories,28,663,1,1800,28,12,18
242,Home construction,50,1212,5,900,26,6,13
242,Sports equipments,57,1156,1,415,19,19,19
242,Sports equipments,51,1015,1,103,21,6,14
242,Office furnitures,42,878,2,500,20,8,14
242,Office furnitures,62,621,1,600,16,6,11
242,Beauty products,59,1238,5,4750,18,22,30
242,Sports equipments,37,610,1,263,18,15,16
242,Home appliances,52,446,1,50,16,2,11
242,Beauty products,46,499,1,200,16,22,11
242,Computer accessories,44,331,1,360,36,6,26
242,Home construction,47,1392,1,150,16,7,12
242,Home construction,61,211,4,1100,32,5,30
242,Home construction,60,1118,6,2250,22,15,20
242,Clothes,59,633,5,1475,68,9,35
242,Home construction,29,347,1,1600,100,7,11
242,Home construction,51,1918,1,1650,25,30,20
242,Computer accessories,59,3492,3,650,35,10,15
242,Clothes,22,663,1,900,21,34,34
242,Sports equipments,42,356,4,75,19,3,11
242,Computer accessories,60,481,4,600,19,7,14
242,Beauty products,47,470,3,400,35,6,15
242,Home construction,45,561,2,553,18,9,15
242,Clothes,42,1109,1,900,18,25,16
242,Clothes,37,261,2,250,25,25,25
242,Beauty products,38,2088,1,14900,58,28,58
242,Beauty products,52,701,1,1100,16,10,16
242,Home appliances,56,945,2,2050,30,22,18
242,Agro products,58,1953,1,850,69,11,11
242,Sports equipments,58,744,1,350,16,10,16
242,Home construction,45,616,3,1400,20,20,30
379,Home construction,60,789,4,200,20,20,20
379,Home construction,18,389,2,617,17,14,17
379,Books,21,718,1,2600,16,41,41
379,Home construction,57,497,1,200,20,9,14
379,Clothes,44,305,1,2000,49,16,39
379,Clothes,42,167,2,266,20,8,18
379,Home appliances,54,409,1,200,19,4,11
379,Books,52,1659,1,300,68,7,13
379,Office furnitures,59,140,1,300,16,16,16
379,Office furnitures,54,182,1,200,16,2,20
379,Clothes,58,613,1,1300,20,16,20
379,Beauty products,50,1530,4,482,18,11,16
379,Clothes,54,223,1,550,16,10,16
379,Books,48,762,1,270,16,16,15
379,Computer accessories,60,818,6,300,17,4,12
379,Clothes,50,257,3,2150,40,25,30
379,Sports equipments,58,894,1,3300,35,20,20
379,Agro products,45,416,1,200,16,16,16
379,Sports equipments,41,128,1,200,21,9,13
379,Beauty products,40,1176,1,514,18,12,15
379,Sports equipments,37,426,2,3100,38,28,28
379,Home construction,42,395,1,1200,27,18,23
379,Sports equipments,56,813,2,250,16,10,16
379,Beauty products,35,537,2,7400,45,29,53
379,Beauty products,57,232,1,7600,55,15,55
379,Beauty products,50,844,1,875,40,26,20
379,Beauty products,58,1047,3,700,35,7,27
379,Beauty products,58,869,2,900,17,10,15
211,Beauty products,28,733,6,700,49,12,27
211,Office furnitures,53,628,2,1100,16,10,16
211,Sports equipments,34,443,7,1150,28,10,25
211,Sports equipments,53,304,1,900,25,10,25
211,Agro products,,,,1400,25,25,25
211,Home appliances,60,1265,1,2050,29,5,21
211,Sports equipments,57,1571,1,2150,28,32,11
211,Beauty products,58,1690,4,490,30,5,25
211,Clothes,59,1272,5,1000,30,13,30
211,Computer accessories,57,991,4,200,16,4,14
211,Home construction,31,580,2,500,19,13,20
211,Clothes,50,208,1,500,16,10,16
211,Stationery,,,,4300,30,10,48
211,Computer accessories,46,483,1,1000,20,14,13
211,Office furnitures,60,651,5,4200,78,4,47
211,Beauty products,60,773,1,350,16,11,11
211,Beauty products,43,533,2,125,19,3,11
211,Beauty products,46,660,2,100,19,3,11
211,Office furnitures,60,1206,4,4100,51,31,31
243,Office furnitures,56,505,2,200,20,20,20
243,Sports equipments,39,319,4,300,23,3,11
243,Clothes,55,871,7,8400,50,28,31
243,Computer accessories,60,314,1,1550,46,10,35
243,Beauty products,17,395,1,600,17,17,18
243,Sports equipments,56,1410,1,200,16,2,20
243,Agro products,57,1631,3,500,16,21,18
243,Beauty products,50,289,1,1250,22,17,20
243,Clothes,52,260,1,667,27,19,20
243,Home construction,48,120,1,300,40,4,30
243,Clothes,52,365,1,400,18,18,12
243,Home construction,38,256,3,450,25,25,25
243,Home construction,41,1510,1,2800,16,2,11
243,Agro products,60,438,1,250,20,6,11
243,Home construction,51,535,1,250,35,5,25
243,Beauty products,50,365,3,300,24,12,12
243,Computer accessories,,,,150,16,2,11
243,Beauty products,28,196,2,1000,35,25,25
243,Computer accessories,29,764,1,6267,36,40,36
243,Computer accessories,46,254,1,2653,53,15,36
243,Computer accessories,58,2130,2,3000,69,11,11
243,Beauty products,54,1636,1,8500,18,29,13
243,Clothes,43,877,1,2120,26,25,25
243,Beauty products,52,640,3,750,30,30,30
381,Beauty products,40,684,2,200,16,16,12
381,Computer accessories,56,198,1,1650,35,20,30
381,Sports equipments,53,192,1,900,26,13,21
381,Beauty products,55,783,1,150,32,5,16
381,Clothes,52,202,1,800,31,5,21
381,Electronics,22,683,3,700,20,20,20
381,Computer accessories,59,879,1,700,20,20,20
381,Computer accessories,46,1654,6,10400,100,23,27
381,Beauty products,57,374,1,5850,40,9,105
381,Computer accessories,39,347,1,75,17,12,17
381,Office furnitures,55,1349,2,1000,27,10,20
381,Home appliances,45,764,4,1475,32,28,28
381,Office furnitures,52,1383,4,750,36,18,36
381,Office furnitures,52,145,10,3600,36,8,15
381,Home construction,42,461,3,2200,28,28,38
381,Books,47,82,1,150,20,13,15
381,Clothes,58,247,1,1750,30,20,30
381,Office furnitures,54,1162,4,1300,44,8,30
100,Agro products,24,356,2,7750,33,25,33
100,Beauty products,46,616,1,3100,32,26,21
100,Beauty products,21,769,4,1600,55,37,30
100,Home construction,58,635,2,350,19,13,13
244,Sports equipments,50,355,1,888,18,17,18
244,Clothes,39,160,3,150,16,4,14
244,Beauty products,46,193,1,1025,25,23,25
244,Home appliances,63,261,2,250,20,9,12
244,Clothes,56,509,4,450,45,15,35
244,Computer accessories,50,546,1,1000,16,12,13
244,Agro products,26,201,1,400,16,9,12
244,Home construction,56,367,3,150,21,7,14
244,Stationery,45,554,3,400,16,4,16
244,Beauty products,55,749,1,9500,56,30,28
244,Beauty products,46,269,1,300,34,5,27
244,Clothes,30,138,1,150,22,7,16
244,Clothes,44,421,1,550,30,5,25
244,Beauty products,39,1571,3,1100,37,12,30
244,Books,46,841,1,300,19,12,13
244,Books,,,,21450,70,34,50
101,Sports equipments,57,1668,1,850,18,10,14
101,Books,42,431,2,500,17,22,17
101,Housewares,54,675,1,750,26,23,23
101,Office furnitures,59,3939,6,150,28,13,12
101,Clothes,54,2952,3,30000,76,51,51
196,Computer accessories,53,512,1,325,17,17,17
196,Home appliances,53,770,1,200,16,2,11
196,Clothes,50,561,3,200,19,3,12
196,Beauty products,52,473,1,200,20,15,15
196,Books,,,,1000,16,14,30
196,Office furnitures,32,713,2,800,20,7,20
196,Sports equipments,48,589,1,700,20,16,17
196,Home appliances,60,394,6,250,16,2,11
196,Books,58,674,3,1800,22,10,18
196,Office furnitures,51,393,1,300,19,13,13
196,Beauty products,42,492,1,450,29,2,17
196,Computer accessories,57,761,1,400,16,21,15
196,Computer accessories,59,988,1,1635,23,30,17
196,Beauty products,52,832,1,750,20,35,20
196,Sports equipments,54,340,1,500,24,20,24
196,Beauty products,59,434,3,350,20,20,20
196,Shoes,43,389,1,200,18,13,16
196,Clothes,60,166,3,950,26,15,19
196,Home appliances,25,119,1,300,16,17,11
196,Books,50,1083,2,452,20,11,18
196,Office furnitures,60,919,2,17650,45,50,45
196,Home construction,56,393,2,1100,35,9,35
196,Clothes,58,235,5,5250,35,15,35
196,Office furnitures,31,254,1,200,16,10,11
196,Beauty products,52,654,4,340,47,13,13
196,Home construction,57,677,1,750,16,16,16
196,Home construction,58,430,1,2650,33,10,33
196,Beauty products,58,477,1,300,35,10,25
196,Computer accessories,50,1123,1,13600,16,65,60
196,Computer accessories,59,711,6,1250,30,10,20
196,Clothes,50,627,2,3950,33,14,33
196,Clothes,32,1095,2,400,38,2,29
196,Beauty products,59,857,7,1100,35,14,29
196,Beauty products,45,379,3,200,16,16,16
196,Beauty products,60,230,1,425,39,17,39
196,Books,43,1129,1,22050,55,40,60
196,Clothes,58,240,1,150,35,8,11
196,Books,46,290,1,800,20,8,20
196,Computer accessories,57,209,11,800,40,8,35
196,Office furnitures,60,418,1,650,16,10,11
196,Home construction,43,754,2,500,16,2,11
196,Home construction,57,1255,4,198,17,9,15
196,Office furnitures,,,,9150,33,30,44
196,Home appliances,27,868,2,500,22,16,16
196,Home appliances,41,687,2,950,27,30,27
196,Home appliances,56,1310,1,3750,42,19,25
196,Home appliances,32,513,3,250,16,6,20
196,Home appliances,42,361,1,100,17,3,12
196,Home appliances,59,495,7,800,22,7,15
196,Home appliances,58,1720,3,200,17,7,17
196,Home appliances,44,1396,2,7225,16,103,25
245,Home appliances,20,740,1,50,40,30,50
245,Home appliances,52,1976,3,425,20,9,18
245,Home appliances,54,383,1,950,50,5,50
245,Home appliances,52,397,5,550,32,11,20
245,Sports equipments,59,319,7,14350,41,55,31
245,Office furnitures,32,1046,1,328,20,14,18
245,Beauty products,32,306,1,1950,58,15,46
245,Clothes,36,642,1,700,16,40,11
245,Clothes,57,335,1,1250,22,11,20
245,Electronics,56,290,2,400,20,5,20
245,Computer accessories,55,936,3,2320,63,33,17
245,Computer accessories,41,394,1,2700,16,30,25
245,Computer accessories,47,723,1,455,21,15,17
245,Home appliances,38,366,3,150,16,6,20
245,Clothes,51,115,1,2200,45,25,35
245,Sports equipments,49,297,2,1400,37,23,35
245,Sports equipments,55,200,2,450,45,15,35
245,Books,54,120,1,835,40,9,33
245,Office furnitures,55,418,2,1250,36,16,24
245,Office furnitures,34,2457,1,550,26,17,17
245,Office furnitures,49,729,1,3850,20,30,30
245,Office furnitures,63,877,6,7000,22,52,27
245,Clothes,53,681,1,1250,19,17,22
245,Clothes,47,528,3,850,48,16,25
245,Clothes,49,374,1,900,30,10,20
245,Computer accessories,63,3140,11,400,16,5,11
245,Computer accessories,52,585,1,400,20,11,19
245,Beauty products,52,682,2,1100,24,16,15
245,Beauty products,57,365,6,850,24,13,18
477,Beauty products,54,630,6,400,18,11,15
477,Office furnitures,60,1046,1,675,22,9,16
477,Books,56,483,2,175,19,12,13
477,Office furnitures,57,1322,1,1350,18,17,16
477,Books,60,1503,5,588,20,17,15
477,Beauty products,41,897,1,450,20,10,20
477,Beauty products,59,867,5,1500,68,9,33
477,Computer accessories,25,267,2,1550,35,30,40
477,Office furnitures,46,1969,1,683,31,16,16
477,Books,53,575,1,2500,35,9,25
477,Beauty products,51,1243,2,500,30,6,23
477,Beauty products,52,1113,2,300,20,34,44
477,Clothes,44,820,1,350,16,16,15
477,Home construction,51,425,1,250,16,12,11
477,Home construction,47,348,1,2900,40,10,35
477,Office furnitures,23,1036,2,200,16,2,11
477,Home construction,45,742,3,383,16,12,13
477,Home construction,49,781,5,200,16,16,16
477,Home construction,56,1173,1,1300,30,16,16
477,Home appliances,44,744,1,4300,16,15,11
477,Clothes,53,2610,2,150,16,7,12
477,Books,59,589,1,400,17,8,17
477,Beauty products,58,262,1,1400,25,10,25
102,Clothes,56,1108,6,450,20,15,15
102,Clothes,54,660,1,154,17,10,13
102,Beauty products,55,132,1,470,21,23,21
102,Beauty products,,,,5500,33,22,33
102,Clothes,58,613,1,650,16,10,16
102,Clothes,34,1122,2,100,18,11,14
102,Clothes,55,739,1,1600,40,20,20
102,Beauty products,52,646,1,400,16,30,20
102,Computer accessories,60,298,1,2350,33,7,37
